TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,Lindi,DDD_CAR_C,DDD_CAR_E,DDD_CAR_NW,DDD_CAR_S,DDD_CAR_SE,DDD_CAR_SW,DDD_CAR_W
2025-01-01,23.8,31.0,25.9,87,8.5,5.1,1,311,1,63.66790170371778,0,0,0,0,0,1,0
2025-01-02,22.9,30.8,25.4,88,4.4,1.6,3,112,1,32.95750205839509,0,1,0,0,0,0,0
2025-01-03,22.4,30.2,25.7,87,23.5,1.6,2,217,1,176.0230223573374,0,0,0,0,0,0,1
2025-01-04,22.7,30.2,25.6,86,13.40322580645161,4.2,2,252,1,100.3947368421053,0,0,0,0,0,0,1
2025-01-05,23.4,30.8,26.2,85,28.5,4.7,2,222,1,213.4747292418773,0,0,0,0,0,0,1
2025-01-06,23.4,32.8,25.9,87,13.40322580645161,4.6,2,161,1,100.3947368421053,0,0,0,0,1,0,0
2025-01-07,23.0,31.6,25.5,89,9.6,3.3,2,124,1,71.90727721831655,1,0,0,0,0,0,0
2025-01-08,23.0,31.0,25.9,85,46.0,4.4,5,278,2,344.5557033377668,0,0,1,0,0,0,0
2025-01-09,23.0,33.2,26.7,81,33.6,2.9,3,300,1,251.6754702641079,0,0,0,0,0,0,1
2025-01-10,22.9,32.6,27.2,80,1.0,5.0,2,240,1,7.490341376907973,0,0,0,0,0,1,0
2025-01-11,23.0,31.2,26.3,84,27.0,5.5,2,271,1,202.2392171765153,0,0,0,0,0,0,1
2025-01-12,23.5,30.2,25.5,87,0.2,3.8,3,293,1,1.498068275381595,0,0,1,0,0,0,0
2025-01-13,23.0,31.4,26.2,86,34.0,2.1,2,286,1,254.6716068148711,0,0,0,0,0,0,1
2025-01-14,23.6,32.0,26.1,86,13.40322580645161,4.7,2,253,1,100.3947368421053,0,0,0,0,0,0,1
2025-01-15,23.4,32.1,26.2,87,29.5,4.6,2,279,1,220.9650706187852,0,0,0,0,0,1,0
2025-01-16,23.9,32.6,27.1,80,0.1,3.8,3,281,1,0.7490341376907974,0,0,0,0,0,0,1
2025-01-17,23.4,32.6,27.1,84,13.40322580645161,6.6,3,309,2,100.3947368421053,0,0,0,0,0,0,1
2025-01-18,23.4,32.8,26.0,88,13.40322580645161,7.1,3,280,1,100.3947368421053,0,0,0,0,0,0,1
2025-01-19,23.6,31.6,26.2,88,2.3,4.7,3,292,1,17.22778516688834,0,0,0,0,0,0,1
2025-01-20,23.6,29.4,25.5,89,22.0,5.1,2,294,1,164.7875102919755,0,0,0,0,0,0,1
2025-01-21,24.0,32.8,27.2,85,0.2,0.3,2,244,1,1.498068275381595,0,0,0,0,0,0,1
2025-01-22,22.8,32.0,26.5,83,16.3,4.9,2,288,1,122.0925644436,0,0,0,0,0,0,1
2025-01-23,23.2,31.2,26.2,85,5.4,2.0,2,291,1,40.44784343530306,0,0,0,0,0,0,1
2025-01-24,23.0,31.8,26.2,86,13.40322580645161,2.2,2,273,1,100.3947368421053,0,0,0,0,0,0,1
2025-01-25,22.6,32.2,26.3,85,0.8,6.0,2,268,1,5.992273101526379,0,0,0,0,0,1,0
2025-01-26,24.4,31.2,26.7,87,2.5,5.4,2,267,1,18.72585344226993,0,0,0,0,0,0,1
2025-01-27,23.6,28.6,24.2,94,26.5,5.8,2,277,1,198.4940464880613,0,0,0,0,0,0,1
2025-01-28,22.8,31.8,25.5,87,10.0,0.0,3,288,1,74.90341376907973,0,0,0,0,0,0,1
2025-01-29,22.8,33.4,25.4,89,52.0,4.2,5,294,2,389.4977515992147,0,0,0,0,0,0,1
2025-01-30,22.2,26.8,24.8,79,31.6,7.0,6,291,5,236.694787510292,0,0,0,0,0,0,1
2025-01-31,23.4,30.0,26.5,76,13.40322580645161,0.0,5,286,2,100.3947368421053,0,0,0,0,0,0,1
2025-02-01,23.8,32.6,26.9,81,7.828571428571428,0.0,3,283,2,91.82926829268291,0,0,0,0,0,0,1
2025-02-02,23.0,31.2,26.7,78,7.828571428571428,2.6,4,298,2,91.82926829268291,0,0,1,0,0,0,0
2025-02-03,23.2,32.4,27.4,77,7.828571428571428,1.9,4,293,2,91.82926829268291,0,0,0,0,0,0,1
2025-02-04,23.8,33.0,27.9,71,7.828571428571428,5.8,4,291,2,91.82926829268291,0,0,1,0,0,0,0
2025-02-05,25.2,32.8,28.5,67,7.828571428571428,8.0,5,292,4,91.82926829268291,0,0,1,0,0,0,0
2025-02-06,25.0,33.6,27.9,72,7.828571428571428,8.0,6,308,4,91.82926829268291,0,0,1,0,0,0,0
2025-02-07,23.6,32.9,27.4,80,5.5,7.4,2,287,1,64.5150881253338,0,0,0,0,0,0,1
2025-02-08,23.6,32.0,26.8,84,7.828571428571428,2.0,2,237,1,91.82926829268291,0,0,0,0,0,0,1
2025-02-09,23.2,31.4,26.2,88,21.0,3.3,3,250,2,246.3303364785473,0,0,0,0,0,0,1
2025-02-10,23.2,29.3,25.5,90,16.5,5.0,2,297,1,193.5452643760014,0,0,0,0,0,0,1
